iter	Passed	Remaining
0	1	1868
1	3	1717
2	4	1655
3	6	1649
4	8	1654
5	9	1617
6	11	1584
7	12	1570
8	13	1534
9	15	1518
10	16	1521
11	18	1529
12	20	1522
13	21	1528
14	23	1519
15	24	1525
16	26	1528
17	27	1523
18	29	1520
19	30	1516
20	32	1513
21	33	1506
22	35	1490
23	36	1478
24	37	1465
25	39	1464
26	40	1457
27	42	1467
28	44	1489
29	47	1522
30	49	1545
31	51	1556
32	53	1567
33	55	1571
34	57	1574
35	58	1573
36	60	1579
37	63	1596
38	64	1589
39	65	1580
40	67	1575
41	68	1569
42	70	1564
43	71	1561
44	73	1555
45	74	1552
46	76	1547
47	77	1545
48	79	1543
49	81	1541
50	82	1540
51	84	1540
52	86	1537
53	87	1532
54	89	1530
55	90	1530
56	92	1530
57	94	1528
58	95	1525
59	97	1523
60	98	1520
61	100	1517
62	101	1515
63	103	1513
64	105	1510
65	106	1505
66	107	1502
67	109	1497
68	110	1495
69	112	1490
70	113	1485
71	115	1482
72	116	1481
73	118	1480
74	119	1478
75	121	1474
76	122	1470
77	124	1467
78	125	1463
79	126	1458
80	128	1455
81	129	1451
82	131	1447
83	132	1444
84	134	1443
85	135	1442
86	137	1441
87	138	1437
88	140	1433
89	141	1432
90	143	1431
91	144	1428
92	146	1428
93	148	1428
94	149	1427
95	151	1426
96	153	1425
97	154	1421
98	156	1419
99	157	1417
100	159	1416
101	160	1413
102	162	1411
103	163	1409
104	165	1407
105	166	1406
106	168	1406
107	170	1404
108	171	1403
109	173	1402
110	174	1400
111	176	1398
112	177	1396
113	179	1393
114	180	1391
115	182	1389
116	183	1386
117	185	1383
118	186	1380
119	188	1379
120	189	1376
121	191	1375
122	192	1374
123	193	1370
124	195	1366
125	196	1364
126	198	1361
127	199	1358
128	200	1356
129	202	1355
130	204	1353
131	205	1350
132	206	1349
133	208	1348
134	210	1346
135	211	1344
136	213	1343
137	214	1341
138	216	1339
139	217	1337
140	219	1335
141	220	1332
142	221	1329
143	223	1327
144	224	1325
145	226	1322
146	227	1321
147	229	1319
148	230	1317
149	232	1315
150	233	1313
151	235	1312
152	236	1310
153	238	1308
154	239	1307
155	241	1304
156	242	1301
157	243	1298
158	245	1296
159	246	1295
160	248	1294
161	249	1292
162	251	1290
163	252	1288
164	254	1287
165	255	1285
166	257	1282
167	258	1280
168	260	1278
169	261	1276
170	262	1274
171	264	1272
172	265	1270
173	267	1268
174	268	1266
175	270	1264
176	271	1262
177	272	1260
178	274	1259
179	276	1257
180	277	1255
181	279	1254
182	280	1251
183	282	1250
184	283	1249
185	285	1248
186	286	1247
187	288	1245
188	289	1244
189	291	1242
190	292	1240
191	294	1238
192	295	1236
193	297	1234
194	298	1232
195	299	1230
196	301	1227
197	302	1225
198	303	1223
199	305	1221
200	306	1219
201	308	1218
202	310	1218
203	311	1216
204	313	1215
205	314	1213
206	316	1211
207	317	1209
208	319	1208
209	320	1206
210	322	1204
211	323	1203
212	325	1201
213	326	1199
214	328	1198
215	329	1196
216	331	1195
217	332	1193
218	334	1191
219	335	1189
220	337	1188
221	338	1186
222	340	1185
223	341	1183
224	342	1181
225	344	1179
226	346	1178
227	347	1176
228	348	1174
229	350	1172
230	351	1170
231	353	1169
232	354	1168
233	356	1166
234	357	1164
235	359	1163
236	360	1162
237	362	1160
238	363	1158
239	365	1156
240	366	1155
241	368	1153
242	369	1151
243	371	1150
244	372	1148
245	374	1146
246	375	1144
247	377	1143
248	378	1142
249	380	1140
250	381	1139
251	382	1136
252	384	1136
253	386	1135
254	387	1133
255	389	1130
256	390	1128
257	391	1126
258	393	1124
259	394	1122
260	395	1120
261	396	1117
262	398	1116
263	399	1114
264	401	1113
265	402	1111
266	404	1110
267	406	1109
268	407	1107
269	409	1106
270	410	1104
271	411	1102
272	413	1100
273	414	1098
274	416	1097
275	417	1095
276	418	1093
277	420	1091
278	421	1090
279	423	1088
280	424	1086
281	426	1085
282	427	1083
283	429	1082
284	430	1079
285	431	1077
286	432	1075
287	434	1073
288	435	1072
289	437	1070
290	438	1068
291	439	1066
292	441	1064
293	442	1063
294	444	1061
295	445	1059
296	446	1057
297	448	1055
298	449	1053
299	450	1051
300	451	1049
301	453	1047
302	454	1045
303	455	1043
304	457	1042
305	458	1040
306	460	1038
307	461	1036
308	462	1034
309	464	1032
310	465	1030
311	466	1028
312	467	1026
313	469	1025
314	470	1023
315	471	1021
316	473	1019
317	474	1017
318	475	1016
319	477	1014
320	478	1013
321	480	1011
322	481	1010
323	483	1008
324	484	1006
325	485	1004
326	487	1003
327	488	1001
328	490	999
329	491	997
330	492	995
331	494	994
332	495	992
333	497	991
334	498	989
335	500	988
336	501	986
337	502	985
338	504	983
339	505	981
340	507	980
341	508	978
342	510	977
343	511	976
344	513	974
345	514	972
346	516	971
347	517	969
348	519	968
349	520	966
350	522	965
351	523	964
352	525	962
353	526	961
354	528	959
355	529	958
356	531	956
357	532	954
358	533	953
359	535	951
360	536	950
361	538	948
362	539	947
363	541	945
364	542	944
365	544	942
366	545	941
367	547	939
368	548	938
369	550	937
370	552	936
371	553	934
372	555	932
373	556	931
374	557	929
375	559	928
376	560	926
377	562	925
378	564	924
379	565	923
380	567	921
381	568	920
382	570	918
383	571	917
384	573	915
385	574	914
386	576	912
387	578	911
388	579	910
389	580	908
390	582	906
391	583	905
392	584	903
393	586	901
394	587	899
395	588	898
396	590	896
397	591	894
398	592	892
399	593	890
400	595	889
401	596	887
402	597	885
403	599	883
404	600	882
405	602	880
406	603	879
407	605	878
408	606	876
409	608	875
410	610	874
411	611	873
412	613	871
413	614	870
414	616	868
415	617	867
416	619	865
417	620	864
418	622	863
419	623	861
420	625	860
421	626	858
422	628	857
423	629	855
424	631	854
425	632	852
426	634	851
427	635	849
428	637	848
429	638	846
